"Number of groups",37
"Number of predators",34
Prey/Pred,"Baleen whales","Toothed whales",Seals,Birds,"Sharks, large","Sharks, small medium","Rays, large","Rays, small medium","Pelagics, large","Pelagics, medium","Pelagics, small, carniv.","Pelagics, small, herbiv.","Benthopelagics, large","Benthopelagics, small medium","Demersals, large","Demersals, medium","Demersals, small","Reeffish, large","Reeffish, medium","Flatfish, large","Flatfish, small medium","Reeffish, small",Bathypelagics,Bathydemersals,Jellyfish,Cephalopods,Shrimps,"Lobsters, crabs",Macrobenthos,Meiobenthos,Corals,"Softcorals, sponges, etc",Krill,"Zooplankton, other"
Shrimps,-999,-999,-999,-999,-999,2,2,2,-999,-999,-999,-999,2,2,2,2,2,-999,2,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Lobsters, crabs",-999,-999,-999,-999,-999,2,2,2,-999,-999,-999,-999,-999,-999,-999,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Macrobenthos,-999,-999,-999,2,2,2,2,2,-999,-999,-999,-999,2,2,2,2,2,2,2,2,2,-999,-999,2,-999,-999,-999,2,2,-999,-999,-999,-999,-999
Meiobenthos,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,-999,2,-999,2,-999,-999,2,-999,-999,2,2,2,2,-999,-999,-999,-999
Corals,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Softcorals, sponges, etc",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Krill,2,2,-999,2,-999,-999,-999,-999,2,2,2,-999,2,-999,-999,-999,-999,-999,-999,-999,-999,2,2,-999,-999,2,-999,-999,-999,-999,-999,-999,2,-999
"Zooplankton, other",2,-999,-999,2,-999,-999,-999,2,-999,-999,2,2,2,2,-999,-999,2,-999,2,2,2,2,2,2,2,2,-999,-999,2,2,2,2,2,-999
Phytoplankton,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,2,2,2
"Benthic plants",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,-999,-999,-999,-999,-999
Detritus,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,2,2,2,2,2,2,2,2,2,2
