"Number of months",480
"Number of groups",22
"Group number",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"Forcing type",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Group name",Dolphins,Bonito,Bluefish,"A. Mackerel",Whiting,Turbot,"R. Mullet",Dogfish,"H. Mackerel",Shad,Sprat,"Anchovy 0-0+","Anchovy 1-1+",Aurelia,Beroe,Mnemiopsis,Pleurobrachia,Noctiluca,Zooplankton,Phytoplankton,POM,Detritus
"Month 33",0.3,0.5,0.5,0.3712,0.1297,0.3434,0.2,0.113,0.38221,0.537,0.03096,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 34",0.3,0.5,0.5,0.3712,0.1297,0.3434,0.2,0.113,0.38221,0.537,0.03096,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 35",0.3,0.5,0.5,0.3712,0.1297,0.3434,0.2,0.113,0.38221,0.537,0.03096,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 36",0.3,0.5,0.5,0.3712,0.1297,0.3434,0.2,0.113,0.38221,0.537,0.03096,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 37",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.44987,0.537,0.0316,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 38",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.44987,0.537,0.0316,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 39",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.44987,0.537,0.0316,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 40",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.44987,0.537,0.0316,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 41",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.44987,0.537,0.0316,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 42",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.44987,0.537,0.0316,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 43",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.44987,0.537,0.0316,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 44",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.44987,0.537,0.0316,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 45",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.44987,0.537,0.0316,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 46",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.44987,0.537,0.0316,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 47",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.44987,0.537,0.0316,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 48",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.44987,0.537,0.0316,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 49",0.3,0.5,0.5,0.2558,0.1297,0.3434,0.2,0.113,0.4134,0.537,0.08228,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 50",0.3,0.5,0.5,0.2558,0.1297,0.3434,0.2,0.113,0.4134,0.537,0.08228,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 51",0.3,0.5,0.5,0.2558,0.1297,0.3434,0.2,0.113,0.4134,0.537,0.08228,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 52",0.3,0.5,0.5,0.2558,0.1297,0.3434,0.2,0.113,0.4134,0.537,0.08228,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 53",0.3,0.5,0.5,0.2558,0.1297,0.3434,0.2,0.113,0.4134,0.537,0.08228,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 54",0.3,0.5,0.5,0.2558,0.1297,0.3434,0.2,0.113,0.4134,0.537,0.08228,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 55",0.3,0.5,0.5,0.2558,0.1297,0.3434,0.2,0.113,0.4134,0.537,0.08228,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 56",0.3,0.5,0.5,0.2558,0.1297,0.3434,0.2,0.113,0.4134,0.537,0.08228,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 57",0.3,0.5,0.5,0.2558,0.1297,0.3434,0.2,0.113,0.4134,0.537,0.08228,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 58",0.3,0.5,0.5,0.2558,0.1297,0.3434,0.2,0.113,0.4134,0.537,0.08228,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 59",0.3,0.5,0.5,0.2558,0.1297,0.3434,0.2,0.113,0.4134,0.537,0.08228,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 60",0.3,0.5,0.5,0.2558,0.1297,0.3434,0.2,0.113,0.4134,0.537,0.08228,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 61",0.3,0.5,0.5,0.3268,0.1297,0.3434,0.2,0.113,0.40936,0.537,0.08402,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 62",0.3,0.5,0.5,0.3268,0.1297,0.3434,0.2,0.113,0.40936,0.537,0.08402,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 63",0.3,0.5,0.5,0.3268,0.1297,0.3434,0.2,0.113,0.40936,0.537,0.08402,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 64",0.3,0.5,0.5,0.3268,0.1297,0.3434,0.2,0.113,0.40936,0.537,0.08402,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 65",0.3,0.5,0.5,0.3268,0.1297,0.3434,0.2,0.113,0.40936,0.537,0.08402,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 66",0.3,0.5,0.5,0.3268,0.1297,0.3434,0.2,0.113,0.40936,0.537,0.08402,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 67",0.3,0.5,0.5,0.3268,0.1297,0.3434,0.2,0.113,0.40936,0.537,0.08402,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 68",0.3,0.5,0.5,0.3268,0.1297,0.3434,0.2,0.113,0.40936,0.537,0.08402,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 69",0.3,0.5,0.5,0.3268,0.1297,0.3434,0.2,0.113,0.40936,0.537,0.08402,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 70",0.3,0.5,0.5,0.3268,0.1297,0.3434,0.2,0.113,0.40936,0.537,0.08402,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 71",0.3,0.5,0.5,0.3268,0.1297,0.3434,0.2,0.113,0.40936,0.537,0.08402,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 72",0.3,0.5,0.5,0.3268,0.1297,0.3434,0.2,0.113,0.40936,0.537,0.08402,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 73",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.1333,0.537,0.03866,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 74",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.1333,0.537,0.03866,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 75",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.1333,0.537,0.03866,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 76",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.1333,0.537,0.03866,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 77",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.1333,0.537,0.03866,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 78",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.1333,0.537,0.03866,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
