"Number of months",480
"Number of groups",22
"Group number",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"Forcing type",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Group name",Dolphins,Bonito,Bluefish,"A. Mackerel",Whiting,Turbot,"R. Mullet",Dogfish,"H. Mackerel",Shad,Sprat,"Anchovy 0-0+","Anchovy 1-1+",Aurelia,Beroe,Mnemiopsis,Pleurobrachia,Noctiluca,Zooplankton,Phytoplankton,POM,Detritus
"Month 142",0.3,0.5,0.5,0.5345,0.1297,0.1881,0.2,0.113,0.4228,1.075,0.06112,-999,0.3433,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 143",0.3,0.5,0.5,0.5345,0.1297,0.1881,0.2,0.113,0.4228,1.075,0.06112,-999,0.3433,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 144",0.3,0.5,0.5,0.5345,0.1297,0.1881,0.2,0.113,0.4228,1.075,0.06112,-999,0.3433,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 145",0.3,0.5,0.5,0.5345,0.1151,0.1848,0.2,0.113,0.53964,0.494,0.08634,-999,0.4286,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 146",0.3,0.5,0.5,0.5345,0.1151,0.1848,0.2,0.113,0.53964,0.494,0.08634,-999,0.4286,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 147",0.3,0.5,0.5,0.5345,0.1151,0.1848,0.2,0.113,0.53964,0.494,0.08634,-999,0.4286,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 148",0.3,0.5,0.5,0.5345,0.1151,0.1848,0.2,0.113,0.53964,0.494,0.08634,-999,0.4286,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 149",0.3,0.5,0.5,0.5345,0.1151,0.1848,0.2,0.113,0.53964,0.494,0.08634,-999,0.4286,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 150",0.3,0.5,0.5,0.5345,0.1151,0.1848,0.2,0.113,0.53964,0.494,0.08634,-999,0.4286,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 151",0.3,0.5,0.5,0.5345,0.1151,0.1848,0.2,0.113,0.53964,0.494,0.08634,-999,0.4286,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 152",0.3,0.5,0.5,0.5345,0.1151,0.1848,0.2,0.113,0.53964,0.494,0.08634,-999,0.4286,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 153",0.3,0.5,0.5,0.5345,0.1151,0.1848,0.2,0.113,0.53964,0.494,0.08634,-999,0.4286,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 154",0.3,0.5,0.5,0.5345,0.1151,0.1848,0.2,0.113,0.53964,0.494,0.08634,-999,0.4286,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 155",0.3,0.5,0.5,0.5345,0.1151,0.1848,0.2,0.113,0.53964,0.494,0.08634,-999,0.4286,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 156",0.3,0.5,0.5,0.5345,0.1151,0.1848,0.2,0.113,0.53964,0.494,0.08634,-999,0.4286,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 157",0.3,0.5,0.5,0.5345,0.0401,0.2416,0.2,0.0777,0.47324,0.884,0.07122,-999,0.4845,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 158",0.3,0.5,0.5,0.5345,0.0401,0.2416,0.2,0.0777,0.47324,0.884,0.07122,-999,0.4845,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 159",0.3,0.5,0.5,0.5345,0.0401,0.2416,0.2,0.0777,0.47324,0.884,0.07122,-999,0.4845,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 160",0.3,0.5,0.5,0.5345,0.0401,0.2416,0.2,0.0777,0.47324,0.884,0.07122,-999,0.4845,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 161",0.3,0.5,0.5,0.5345,0.0401,0.2416,0.2,0.0777,0.47324,0.884,0.07122,-999,0.4845,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 162",0.3,0.5,0.5,0.5345,0.0401,0.2416,0.2,0.0777,0.47324,0.884,0.07122,-999,0.4845,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 163",0.3,0.5,0.5,0.5345,0.0401,0.2416,0.2,0.0777,0.47324,0.884,0.07122,-999,0.4845,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 164",0.3,0.5,0.5,0.5345,0.0401,0.2416,0.2,0.0777,0.47324,0.884,0.07122,-999,0.4845,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 165",0.3,0.5,0.5,0.5345,0.0401,0.2416,0.2,0.0777,0.47324,0.884,0.07122,-999,0.4845,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 166",0.3,0.5,0.5,0.5345,0.0401,0.2416,0.2,0.0777,0.47324,0.884,0.07122,-999,0.4845,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 167",0.3,0.5,0.5,0.5345,0.0401,0.2416,0.2,0.0777,0.47324,0.884,0.07122,-999,0.4845,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 168",0.3,0.5,0.5,0.5345,0.0401,0.2416,0.2,0.0777,0.47324,0.884,0.07122,-999,0.4845,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 169",0.3,0.5,0.5,0.5345,0.0422,0.1963,0.2,0.0854,0.18447,0.423,0.01002,-999,0.4992,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 170",0.3,0.5,0.5,0.5345,0.0422,0.1963,0.2,0.0854,0.18447,0.423,0.01002,-999,0.4992,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 171",0.3,0.5,0.5,0.5345,0.0422,0.1963,0.2,0.0854,0.18447,0.423,0.01002,-999,0.4992,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 172",0.3,0.5,0.5,0.5345,0.0422,0.1963,0.2,0.0854,0.18447,0.423,0.01002,-999,0.4992,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 173",0.3,0.5,0.5,0.5345,0.0422,0.1963,0.2,0.0854,0.18447,0.423,0.01002,-999,0.4992,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 174",0.3,0.5,0.5,0.5345,0.0422,0.1963,0.2,0.0854,0.18447,0.423,0.01002,-999,0.4992,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 175",0.3,0.5,0.5,0.5345,0.0422,0.1963,0.2,0.0854,0.18447,0.423,0.01002,-999,0.4992,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 176",0.3,0.5,0.5,0.5345,0.0422,0.1963,0.2,0.0854,0.18447,0.423,0.01002,-999,0.4992,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 177",0.3,0.5,0.5,0.5345,0.0422,0.1963,0.2,0.0854,0.18447,0.423,0.01002,-999,0.4992,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 178",0.3,0.5,0.5,0.5345,0.0422,0.1963,0.2,0.0854,0.18447,0.423,0.01002,-999,0.4992,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 179",0.3,0.5,0.5,0.5345,0.0422,0.1963,0.2,0.0854,0.18447,0.423,0.01002,-999,0.4992,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 180",0.3,0.5,0.5,0.5345,0.0422,0.1963,0.2,0.0854,0.18447,0.423,0.01002,-999,0.4992,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 181",0.3,0.5,0.5,0.5345,0.0258,0.1,0.2,0.0757,0.12811,1.145,0.01802,-999,0.4976,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 182",0.3,0.5,0.5,0.5345,0.0258,0.1,0.2,0.0757,0.12811,1.145,0.01802,-999,0.4976,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 183",0.3,0.5,0.5,0.5345,0.0258,0.1,0.2,0.0757,0.12811,1.145,0.01802,-999,0.4976,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 184",0.3,0.5,0.5,0.5345,0.0258,0.1,0.2,0.0757,0.12811,1.145,0.01802,-999,0.4976,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 185",0.3,0.5,0.5,0.5345,0.0258,0.1,0.2,0.0757,0.12811,1.145,0.01802,-999,0.4976,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 186",0.3,0.5,0.5,0.5345,0.0258,0.1,0.2,0.0757,0.12811,1.145,0.01802,-999,0.4976,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 187",0.3,0.5,0.5,0.5345,0.0258,0.1,0.2,0.0757,0.12811,1.145,0.01802,-999,0.4976,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 188",0.3,0.5,0.5,0.5345,0.0258,0.1,0.2,0.0757,0.12811,1.145,0.01802,-999,0.4976,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 189",0.3,0.5,0.5,0.5345,0.0258,0.1,0.2,0.0757,0.12811,1.145,0.01802,-999,0.4976,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 190",0.3,0.5,0.5,0.5345,0.0258,0.1,0.2,0.0757,0.12811,1.145,0.01802,-999,0.4976,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 191",0.3,0.5,0.5,0.5345,0.0258,0.1,0.2,0.0757,0.12811,1.145,0.01802,-999,0.4976,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 192",0.3,0.5,0.5,0.5345,0.0258,0.1,0.2,0.0757,0.12811,1.145,0.01802,-999,0.4976,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 193",0.3,0.5,0.5,0.5345,0.0369,0.127,0.2,0.0868,0.1412,1.508,0.02958,-999,0.6133,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 194",0.3,0.5,0.5,0.5345,0.0369,0.127,0.2,0.0868,0.1412,1.508,0.02958,-999,0.6133,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 195",0.3,0.5,0.5,0.5345,0.0369,0.127,0.2,0.0868,0.1412,1.508,0.02958,-999,0.6133,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 196",0.3,0.5,0.5,0.5345,0.0369,0.127,0.2,0.0868,0.1412,1.508,0.02958,-999,0.6133,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 197",0.3,0.5,0.5,0.5345,0.0369,0.127,0.2,0.0868,0.1412,1.508,0.02958,-999,0.6133,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 198",0.3,0.5,0.5,0.5345,0.0369,0.127,0.2,0.0868,0.1412,1.508,0.02958,-999,0.6133,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 199",0.3,0.5,0.5,0.5345,0.0369,0.127,0.2,0.0868,0.1412,1.508,0.02958,-999,0.6133,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 200",0.3,0.5,0.5,0.5345,0.0369,0.127,0.2,0.0868,0.1412,1.508,0.02958,-999,0.6133,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 201",0.3,0.5,0.5,0.5345,0.0369,0.127,0.2,0.0868,0.1412,1.508,0.02958,-999,0.6133,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 202",0.3,0.5,0.5,0.5345,0.0369,0.127,0.2,0.0868,0.1412,1.508,0.02958,-999,0.6133,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 203",0.3,0.5,0.5,0.5345,0.0369,0.127,0.2,0.0868,0.1412,1.508,0.02958,-999,0.6133,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 204",0.3,0.5,0.5,0.5345,0.0369,0.127,0.2,0.0868,0.1412,1.508,0.02958,-999,0.6133,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 205",0.3,0.5,0.5,0.5345,0.0511,0.2532,0.2,0.0681,0.09817,0.944,0.05476,-999,0.3386,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 206",0.3,0.5,0.5,0.5345,0.0511,0.2532,0.2,0.0681,0.09817,0.944,0.05476,-999,0.3386,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 207",0.3,0.5,0.5,0.5345,0.0511,0.2532,0.2,0.0681,0.09817,0.944,0.05476,-999,0.3386,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 208",0.3,0.5,0.5,0.5345,0.0511,0.2532,0.2,0.0681,0.09817,0.944,0.05476,-999,0.3386,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 209",0.3,0.5,0.5,0.5345,0.0511,0.2532,0.2,0.0681,0.09817,0.944,0.05476,-999,0.3386,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 210",0.3,0.5,0.5,0.5345,0.0511,0.2532,0.2,0.0681,0.09817,0.944,0.05476,-999,0.3386,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 211",0.3,0.5,0.5,0.5345,0.0511,0.2532,0.2,0.0681,0.09817,0.944,0.05476,-999,0.3386,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 212",0.3,0.5,0.5,0.5345,0.0511,0.2532,0.2,0.0681,0.09817,0.944,0.05476,-999,0.3386,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 213",0.3,0.5,0.5,0.5345,0.0511,0.2532,0.2,0.0681,0.09817,0.944,0.05476,-999,0.3386,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 214",0.3,0.5,0.5,0.5345,0.0511,0.2532,0.2,0.0681,0.09817,0.944,0.05476,-999,0.3386,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 215",0.3,0.5,0.5,0.5345,0.0511,0.2532,0.2,0.0681,0.09817,0.944,0.05476,-999,0.3386,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 216",0.3,0.5,0.5,0.5345,0.0511,0.2532,0.2,0.0681,0.09817,0.944,0.05476,-999,0.3386,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 217",0.3,0.5,0.5,0.5345,0.0703,0.0994,0.2,0.0537,0.11704,0.38,0.10966,-999,0.2677,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 218",0.3,0.5,0.5,0.5345,0.0703,0.0994,0.2,0.0537,0.11704,0.38,0.10966,-999,0.2677,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 219",0.3,0.5,0.5,0.5345,0.0703,0.0994,0.2,0.0537,0.11704,0.38,0.10966,-999,0.2677,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 220",0.3,0.5,0.5,0.5345,0.0703,0.0994,0.2,0.0537,0.11704,0.38,0.10966,-999,0.2677,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 221",0.3,0.5,0.5,0.5345,0.0703,0.0994,0.2,0.0537,0.11704,0.38,0.10966,-999,0.2677,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 222",0.3,0.5,0.5,0.5345,0.0703,0.0994,0.2,0.0537,0.11704,0.38,0.10966,-999,0.2677,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 223",0.3,0.5,0.5,0.5345,0.0703,0.0994,0.2,0.0537,0.11704,0.38,0.10966,-999,0.2677,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 224",0.3,0.5,0.5,0.5345,0.0703,0.0994,0.2,0.0537,0.11704,0.38,0.10966,-999,0.2677,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 225",0.3,0.5,0.5,0.5345,0.0703,0.0994,0.2,0.0537,0.11704,0.38,0.10966,-999,0.2677,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 226",0.3,0.5,0.5,0.5345,0.0703,0.0994,0.2,0.0537,0.11704,0.38,0.10966,-999,0.2677,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 227",0.3,0.5,0.5,0.5345,0.0703,0.0994,0.2,0.0537,0.11704,0.38,0.10966,-999,0.2677,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 228",0.3,0.5,0.5,0.5345,0.0703,0.0994,0.2,0.0537,0.11704,0.38,0.10966,-999,0.2677,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 229",0.3,0.5,0.5,0.5345,0.1036,0.4805,0.2,0.2112,0.33383,1.076,0.25236,-999,0.5565,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 230",0.3,0.5,0.5,0.5345,0.1036,0.4805,0.2,0.2112,0.33383,1.076,0.25236,-999,0.5565,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 231",0.3,0.5,0.5,0.5345,0.1036,0.4805,0.2,0.2112,0.33383,1.076,0.25236,-999,0.5565,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 232",0.3,0.5,0.5,0.5345,0.1036,0.4805,0.2,0.2112,0.33383,1.076,0.25236,-999,0.5565,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 233",0.3,0.5,0.5,0.5345,0.1036,0.4805,0.2,0.2112,0.33383,1.076,0.25236,-999,0.5565,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 234",0.3,0.5,0.5,0.5345,0.1036,0.4805,0.2,0.2112,0.33383,1.076,0.25236,-999,0.5565,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 235",0.3,0.5,0.5,0.5345,0.1036,0.4805,0.2,0.2112,0.33383,1.076,0.25236,-999,0.5565,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 236",0.3,0.5,0.5,0.5345,0.1036,0.4805,0.2,0.2112,0.33383,1.076,0.25236,-999,0.5565,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 237",0.3,0.5,0.5,0.5345,0.1036,0.4805,0.2,0.2112,0.33383,1.076,0.25236,-999,0.5565,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 238",0.3,0.5,0.5,0.5345,0.1036,0.4805,0.2,0.2112,0.33383,1.076,0.25236,-999,0.5565,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 239",0.3,0.5,0.5,0.5345,0.1036,0.4805,0.2,0.2112,0.33383,1.076,0.25236,-999,0.5565,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 240",0.3,0.5,0.5,0.5345,0.1036,0.4805,0.2,0.2112,0.33383,1.076,0.25236,-999,0.5565,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 241",0.3,0.5,0.5,0.5345,0.075,0.2825,0.2,0.1401,0.26087,2.001,0.31238,-999,0.4863,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 242",0.3,0.5,0.5,0.5345,0.075,0.2825,0.2,0.1401,0.26087,2.001,0.31238,-999,0.4863,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 243",0.3,0.5,0.5,0.5345,0.075,0.2825,0.2,0.1401,0.26087,2.001,0.31238,-999,0.4863,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 244",0.3,0.5,0.5,0.5345,0.075,0.2825,0.2,0.1401,0.26087,2.001,0.31238,-999,0.4863,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 245",0.3,0.5,0.5,0.5345,0.075,0.2825,0.2,0.1401,0.26087,2.001,0.31238,-999,0.4863,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 246",0.3,0.5,0.5,0.5345,0.075,0.2825,0.2,0.1401,0.26087,2.001,0.31238,-999,0.4863,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 247",0.3,0.5,0.5,0.5345,0.075,0.2825,0.2,0.1401,0.26087,2.001,0.31238,-999,0.4863,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 248",0.3,0.5,0.5,0.5345,0.075,0.2825,0.2,0.1401,0.26087,2.001,0.31238,-999,0.4863,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 249",0.3,0.5,0.5,0.5345,0.075,0.2825,0.2,0.1401,0.26087,2.001,0.31238,-999,0.4863,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 250",0.3,0.5,0.5,0.5345,0.075,0.2825,0.2,0.1401,0.26087,2.001,0.31238,-999,0.4863,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 251",0.3,0.5,0.5,0.5345,0.075,0.2825,0.2,0.1401,0.26087,2.001,0.31238,-999,0.4863,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 252",0.3,0.5,0.5,0.5345,0.075,0.2825,0.2,0.1401,0.26087,2.001,0.31238,-999,0.4863,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 253",0.3,0.5,0.5,0.5345,0.0621,0.2398,0.2,0.093,0.37241,0.53,0.43698,-999,0.5589,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 254",0.3,0.5,0.5,0.5345,0.0621,0.2398,0.2,0.093,0.37241,0.53,0.43698,-999,0.5589,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 255",0.3,0.5,0.5,0.5345,0.0621,0.2398,0.2,0.093,0.37241,0.53,0.43698,-999,0.5589,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 256",0.3,0.5,0.5,0.5345,0.0621,0.2398,0.2,0.093,0.37241,0.53,0.43698,-999,0.5589,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 257",0.3,0.5,0.5,0.5345,0.0621,0.2398,0.2,0.093,0.37241,0.53,0.43698,-999,0.5589,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 258",0.3,0.5,0.5,0.5345,0.0621,0.2398,0.2,0.093,0.37241,0.53,0.43698,-999,0.5589,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 259",0.3,0.5,0.5,0.5345,0.0621,0.2398,0.2,0.093,0.37241,0.53,0.43698,-999,0.5589,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 260",0.3,0.5,0.5,0.5345,0.0621,0.2398,0.2,0.093,0.37241,0.53,0.43698,-999,0.5589,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 261",0.3,0.5,0.5,0.5345,0.0621,0.2398,0.2,0.093,0.37241,0.53,0.43698,-999,0.5589,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 262",0.3,0.5,0.5,0.5345,0.0621,0.2398,0.2,0.093,0.37241,0.53,0.43698,-999,0.5589,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 263",0.3,0.5,0.5,0.5345,0.0621,0.2398,0.2,0.093,0.37241,0.53,0.43698,-999,0.5589,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 264",0.3,0.5,0.5,0.5345,0.0621,0.2398,0.2,0.093,0.37241,0.53,0.43698,-999,0.5589,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 265",0.3,0.5,0.5,0.5345,0.072,0.508,0.2,0.1838,0.61684,0.352,0.39148,-999,0.5292,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 266",0.3,0.5,0.5,0.5345,0.072,0.508,0.2,0.1838,0.61684,0.352,0.39148,-999,0.5292,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 267",0.3,0.5,0.5,0.5345,0.072,0.508,0.2,0.1838,0.61684,0.352,0.39148,-999,0.5292,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 268",0.3,0.5,0.5,0.5345,0.072,0.508,0.2,0.1838,0.61684,0.352,0.39148,-999,0.5292,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 269",0.3,0.5,0.5,0.5345,0.072,0.508,0.2,0.1838,0.61684,0.352,0.39148,-999,0.5292,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 270",0.3,0.5,0.5,0.5345,0.072,0.508,0.2,0.1838,0.61684,0.352,0.39148,-999,0.5292,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 271",0.3,0.5,0.5,0.5345,0.072,0.508,0.2,0.1838,0.61684,0.352,0.39148,-999,0.5292,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 272",0.3,0.5,0.5,0.5345,0.072,0.508,0.2,0.1838,0.61684,0.352,0.39148,-999,0.5292,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 273",0.3,0.5,0.5,0.5345,0.072,0.508,0.2,0.1838,0.61684,0.352,0.39148,-999,0.5292,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 274",0.3,0.5,0.5,0.5345,0.072,0.508,0.2,0.1838,0.61684,0.352,0.39148,-999,0.5292,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 275",0.3,0.5,0.5,0.5345,0.072,0.508,0.2,0.1838,0.61684,0.352,0.39148,-999,0.5292,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 276",0.3,0.5,0.5,0.5345,0.072,0.508,0.2,0.1838,0.61684,0.352,0.39148,-999,0.5292,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 277",0.1,0.5,0.5,0.5345,0.0839,0.4601,0.2,0.0789,0.53231,0.401,0.28086,-999,0.6705,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 278",0.1,0.5,0.5,0.5345,0.0839,0.4601,0.2,0.0789,0.53231,0.401,0.28086,-999,0.6705,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 279",0.1,0.5,0.5,0.5345,0.0839,0.4601,0.2,0.0789,0.53231,0.401,0.28086,-999,0.6705,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 280",0.1,0.5,0.5,0.5345,0.0839,0.4601,0.2,0.0789,0.53231,0.401,0.28086,-999,0.6705,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 281",0.1,0.5,0.5,0.5345,0.0839,0.4601,0.2,0.0789,0.53231,0.401,0.28086,-999,0.6705,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 282",0.1,0.5,0.5,0.5345,0.0839,0.4601,0.2,0.0789,0.53231,0.401,0.28086,-999,0.6705,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 283",0.1,0.5,0.5,0.5345,0.0839,0.4601,0.2,0.0789,0.53231,0.401,0.28086,-999,0.6705,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 284",0.1,0.5,0.5,0.5345,0.0839,0.4601,0.2,0.0789,0.53231,0.401,0.28086,-999,0.6705,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 285",0.1,0.5,0.5,0.5345,0.0839,0.4601,0.2,0.0789,0.53231,0.401,0.28086,-999,0.6705,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 286",0.1,0.5,0.5,0.5345,0.0839,0.4601,0.2,0.0789,0.53231,0.401,0.28086,-999,0.6705,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 287",0.1,0.5,0.5,0.5345,0.0839,0.4601,0.2,0.0789,0.53231,0.401,0.28086,-999,0.6705,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 288",0.1,0.5,0.5,0.5345,0.0839,0.4601,0.2,0.0789,0.53231,0.401,0.28086,-999,0.6705,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 289",0.1,0.5,0.5,0.5345,0.102,0.3513,0.2,0.062,0.40043,1.225,0.23474,-999,0.5428,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 290",0.1,0.5,0.5,0.5345,0.102,0.3513,0.2,0.062,0.40043,1.225,0.23474,-999,0.5428,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 291",0.1,0.5,0.5,0.5345,0.102,0.3513,0.2,0.062,0.40043,1.225,0.23474,-999,0.5428,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 292",0.1,0.5,0.5,0.5345,0.102,0.3513,0.2,0.062,0.40043,1.225,0.23474,-999,0.5428,-999,-999,-999,-999,-999,-999,-999,-999,-999
