X,Y,BOOL_ECO,ID
2770.6437988281,3793.3395996094,1,222
2770.6437988281,3792.8395996094,1,223
2770.6437988281,3792.3395996094,1,224
2770.6437988281,3791.8395996094,1,225
2770.6437988281,3791.3395996094,1,226
2770.6437988281,3790.8395996094,1,227
2770.6437988281,3790.3395996094,1,228
2770.6437988281,3789.8395996094,1,229
2770.6437988281,3789.3395996094,1,230
2770.6437988281,3788.8395996094,1,231
2770.6437988281,3788.3395996094,1,232
2770.6437988281,3787.8395996094,1,233
2770.6437988281,3787.3395996094,1,234
2770.6437988281,3786.8395996094,1,235
2770.6437988281,3786.3395996094,1,236
2770.6437988281,3785.8395996094,1,237
2770.6437988281,3785.3395996094,1,238
2770.6437988281,3784.8395996094,1,239
2770.6437988281,3784.3395996094,0,240
2771.1437988281,3793.8395996094,0,241
2771.1437988281,3793.3395996094,1,242
2771.1437988281,3792.8395996094,1,243
2771.1437988281,3792.3395996094,1,244
2771.1437988281,3791.8395996094,1,245
2771.1437988281,3791.3395996094,1,246
2771.1437988281,3790.8395996094,0,247
2771.1437988281,3790.3395996094,0,248
2771.1437988281,3789.8395996094,0,249
2771.1437988281,3789.3395996094,0,250
2771.1437988281,3788.8395996094,0,251
2771.1437988281,3788.3395996094,1,252
2771.1437988281,3787.8395996094,1,253
2771.1437988281,3787.3395996094,1,254
2771.1437988281,3786.8395996094,1,255
2771.1437988281,3786.3395996094,1,256
2771.1437988281,3785.8395996094,1,257
2771.1437988281,3785.3395996094,1,258
2771.1437988281,3784.8395996094,1,259
2771.1437988281,3784.3395996094,0,260
2771.6437988281,3793.8395996094,0,261
2771.6437988281,3793.3395996094,1,262
2771.6437988281,3792.8395996094,1,263
2771.6437988281,3792.3395996094,1,264
2771.6437988281,3791.8395996094,1,265
2771.6437988281,3791.3395996094,1,266
2771.6437988281,3790.8395996094,0,267
2771.6437988281,3790.3395996094,0,268
2771.6437988281,3789.8395996094,0,269
2771.6437988281,3789.3395996094,0,270
2771.6437988281,3788.8395996094,0,271
2771.6437988281,3788.3395996094,1,272
2771.6437988281,3787.8395996094,1,273
2771.6437988281,3787.3395996094,1,274
2771.6437988281,3786.8395996094,1,275
2771.6437988281,3786.3395996094,1,276
2771.6437988281,3785.8395996094,1,277
2771.6437988281,3785.3395996094,1,278
2771.6437988281,3784.8395996094,1,279
2771.6437988281,3784.3395996094,0,280
2772.1437988281,3793.8395996094,0,281
2772.1437988281,3793.3395996094,1,282
2772.1437988281,3792.8395996094,1,283
2772.1437988281,3792.3395996094,1,284
2772.1437988281,3791.8395996094,1,285
2772.1437988281,3791.3395996094,1,286
2772.1437988281,3790.8395996094,0,287
2772.1437988281,3790.3395996094,0,288
2772.1437988281,3789.8395996094,0,289
2772.1437988281,3789.3395996094,0,290
2772.1437988281,3788.8395996094,0,291
2772.1437988281,3788.3395996094,1,292
2772.1437988281,3787.8395996094,1,293
2772.1437988281,3787.3395996094,1,294
2772.1437988281,3786.8395996094,1,295
2772.1437988281,3786.3395996094,1,296
2772.1437988281,3785.8395996094,1,297
2772.1437988281,3785.3395996094,1,298
2772.1437988281,3784.8395996094,1,299
2772.1437988281,3784.3395996094,0,300
2772.6437988281,3793.8395996094,0,301
2772.6437988281,3793.3395996094,1,302
2772.6437988281,3792.8395996094,1,303
2772.6437988281,3792.3395996094,1,304
2772.6437988281,3791.8395996094,1,305
2772.6437988281,3791.3395996094,1,306
2772.6437988281,3790.8395996094,0,307
2772.6437988281,3790.3395996094,0,308
2772.6437988281,3789.8395996094,0,309
2772.6437988281,3789.3395996094,0,310
2772.6437988281,3788.8395996094,0,311
2772.6437988281,3788.3395996094,1,312
2772.6437988281,3787.8395996094,1,313
2772.6437988281,3787.3395996094,1,314
2772.6437988281,3786.8395996094,1,315
2772.6437988281,3786.3395996094,1,316
2772.6437988281,3785.8395996094,1,317
2772.6437988281,3785.3395996094,1,318
2772.6437988281,3784.8395996094,1,319
2772.6437988281,3784.3395996094,0,320
2773.1437988281,3793.8395996094,0,321
2773.1437988281,3793.3395996094,1,322
