EwEVersion,"6.6.15613.0 (compiled 02/10/2018)"
Date,"02/10/2018 09:40:27"
ModelName,"Generic 37"
EcosimScenario,"an example"
TimeSeries,(none)
StartYear,0

Data,Catch

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
20,0,0,0,0,0.02047816,0.08024547,0.0243434,0.0429569,0.09966697,0.6781268,0.2311296,0.2284953,0.09015941,0.2913792,0.2319613,1.288252,0,0.03763,0.322753,0.04456277,0.7466994,0,0,0,0,0.2035345,0.4604176,0.5522398,0.1165561,0,0,0,0,0,0,0,0
21,0,0,0,0,0.02150841,0.08420587,0.02556389,0.04544258,0.1043242,0.6978508,0.2469111,0.2438988,0.09335316,0.294473,0.2399308,1.319439,0,0.03916124,0.3304538,0.04606359,0.7576537,0,0,0,0,0.2147082,0.4923041,0.5591133,0.1242996,0,0,0,0,0,0,0,0
22,0,0,0,0,0.02123062,0.08308028,0.02523552,0.04519324,0.1026211,0.675358,0.2480474,0.2448629,0.09086364,0.2798668,0.2333124,1.271369,0,0.03831159,0.3182441,0.04475673,0.7231287,0,0,0,0,0.2131557,0.495128,0.5336202,0.1245422,0,0,0,0,0,0,0,0
23,0,0,0,0,0.02095735,0.08201081,0.02491787,0.04496033,0.100946,0.6540167,0.2493418,0.2460221,0.08846244,0.2661475,0.2269562,1.226348,0,0.03749131,0.3067408,0.04349594,0.6907231,0,0,0,0,0.2118941,0.4982669,0.5106524,0.1247343,0,0,0,0,0,0,0,0
24,0,0,0,0,0.02145763,0.08398544,0.0255211,0.04641661,0.1029707,0.6561409,0.2602698,0.2566847,0.08924328,0.2618566,0.2287767,1.225369,0,0.03803401,0.3061863,0.04380011,0.6826914,0,0,0,0,0.2185809,0.5202823,0.5054055,0.1295961,0,0,0,0,0,0,0,0
25,0,0,0,0,0.02116918,0.08291065,0.02519054,0.04618207,0.1012045,0.6346529,0.2619025,0.2582185,0.08676233,0.2483695,0.2222685,1.180958,0,0.0371866,0.294711,0.04250446,0.6505555,0,0,0,0,0.217516,0.5235612,0.4831293,0.1296494,0,0,0,0,0,0,0,0
26,0,0,0,0,0.02088771,0.08189732,0.02487125,0.04596052,0.09948059,0.6142948,0.263694,0.2599524,0.08437129,0.2357139,0.2160307,1.139431,0,0.03637064,0.2838992,0.04125753,0.620324,0,0,0,0,0.2167177,0.5268833,0.462854,0.1296127,0,0,0,0,0,0,0,0
27,0,0,0,0,0.0214949,0.08437911,0.02560815,0.04771993,0.101959,0.6191263,0.2772034,0.2732342,0.08545725,0.2325488,0.2187126,1.14453,0,0.0370726,0.284629,0.04171269,0.6148952,0,0,0,0,0.2252158,0.5528522,0.4604302,0.1351312,0,0,0,0,0,0,0,0
28,0,0,0,0,0.02119813,0.08334675,0.02526983,0.04747961,0.1001436,0.5983128,0.2793536,0.2753677,0.082954,0.2199517,0.2122474,1.102827,0,0.03621952,0.2736452,0.04041816,0.5843304,0,0,0,0,0.2245135,0.5557035,0.4397931,0.1348777,0,0,0,0,0,0,0,0
29,0,0,0,0,0.02091075,0.08237763,0.02494273,0.04724517,0.09838467,0.5786276,0.2816622,0.2777082,0.08054414,0.2081574,0.206064,1.063918,0,0.03539976,0.2633038,0.03917496,0.5555626,0,0,0,0,0.2240623,0.5583464,0.4208843,0.1345084,0,0,0,0,0,0,0,0
