EwEVersion,"6.6.15613.0 (compiled 02/10/2018)"
Date,"02/10/2018 09:42:53"
ModelName,"Tampa Bay"
EcosimScenario,"TampaBay Flabay Nut better fix seagrass"
TimeSeries,(none)
StartYear,0

Data,Biomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
11,3.543143E-05,0.003767142,0.1336348,0.07330037,0.01587167,2.80803E-05,0.0005541045,0.01152827,0.06699578,0.2401329,1.413232E-05,0.01069941,0.143992,1.906731E-06,0.0006096753,0.06536856,0.006391981,0.09396997,1.273557,2.399378E-07,0.01307845,0.001411187,0.02264402,0.0210293,0.113751,0.2029777,0.4080124,0.04732463,0.03520847,0.08395189,0.01739002,0.05789776,0.0396864,0.04506939,0.01842859,0.4961087,0.02010487,0.03678601,0.05015349,0.2045408,0.01167063,0.07377432,0.01030752,3.248697,1.603847,0.1688201,0.01704336,6.359111,13.85046,7.368661,9.221624,2.693136
12,3.750934E-05,0.003245124,0.125057,0.0698513,0.01527608,3.021314E-05,0.0006640184,0.01036248,0.06259193,0.2317669,1.470438E-05,0.009604958,0.1358777,2.01878E-06,0.0004929348,0.06148686,0.008706842,0.08568003,1.234711,2.40246E-07,0.01242557,0.001215227,0.02021164,0.02052375,0.1060618,0.1926311,0.3874697,0.04407109,0.03246874,0.07731415,0.01612206,0.05404025,0.03602615,0.04343715,0.01722917,0.4806314,0.02007413,0.03455487,0.04685161,0.2179421,0.01181546,0.06947525,0.009037608,3.127002,1.645892,0.1913092,0.01676072,5.917443,14.27904,6.752653,9.832211,2.9055
13,3.94315E-05,0.002885103,0.1174693,0.066544,0.01469907,3.200591E-05,0.0007241671,0.009419621,0.0586292,0.2235924,1.529642E-05,0.008679142,0.1283738,2.116E-06,0.0004185319,0.05789725,0.01088745,0.07875332,1.206305,2.417208E-07,0.01180911,0.001074427,0.01841846,0.02001263,0.1009517,0.1831172,0.3694184,0.04125584,0.03018019,0.07195066,0.01504219,0.05064553,0.03333213,0.04186005,0.01618548,0.4716185,0.02042498,0.03283264,0.04440736,0.2390617,0.01247408,0.06547215,0.007973247,3.008296,1.703693,0.208981,0.01696359,5.541713,14.44437,6.151352,10.19221,3.056628
14,4.097068E-05,0.002870266,0.1106164,0.06341144,0.01414486,3.335437E-05,0.0007580464,0.008621775,0.05515655,0.2156661,1.666558E-05,0.007881388,0.1215286,2.187818E-06,0.0004137601,0.05457968,0.01225707,0.07129064,1.187204,2.506582E-07,0.0112327,0.0009703801,0.01710364,0.01950229,0.09764209,0.1743405,0.3535106,0.03882622,0.02827251,0.06767333,0.01411644,0.04763415,0.03136196,0.04035147,0.0152729,0.4668377,0.0209341,0.03150603,0.04262738,0.2645703,0.01347596,0.06177096,0.007081015,2.892818,1.762931,0.2213529,0.01737337,5.21268,14.4831,5.583901,10.39789,3.155221
15,4.248317E-05,0.003094526,0.1045398,0.06048009,0.01361655,3.482555E-05,0.0007838075,0.007891631,0.05221827,0.2080278,1.883408E-05,0.00716988,0.1153726,2.326108E-06,0.0004481755,0.05155944,0.01248714,0.06358179,1.178467,2.742262E-07,0.01069792,0.0008983135,0.01616013,0.01899734,0.09562457,0.1662548,0.3395449,0.03673536,0.02668626,0.06430399,0.01331923,0.04496025,0.02994314,0.0389188,0.01447405,0.465472,0.02150482,0.0304959,0.04136755,0.2927307,0.01471867,0.05837402,0.006331023,2.780721,1.823174,0.232351,0.01821431,4.929563,14.81359,5.191371,10.8034,3.258516
16,4.589365E-05,0.003416555,0.09930789,0.05776848,0.01311619,3.636748E-05,0.0008087617,0.007146886,0.0498585,0.2007062,2.043891E-05,0.006498471,0.1099219,2.6894E-06,0.0004918417,0.04885413,0.01182786,0.06086238,1.17334,3.000845E-07,0.01020494,0.0008601729,0.0154951,0.01850153,0.09469657,0.1588271,0.3273982,0.03495277,0.02538512,0.0617133,0.01263807,0.04259857,0.02898589,0.03756717,0.01377946,0.4672205,0.02214442,0.0297669,0.04055253,0.321747,0.01610219,0.05527672,0.005699656,2.672143,1.886781,0.2441102,0.01945859,4.688416,15.12364,4.869704,11.18194,3.361447
17,5.098443E-05,0.003658173,0.09499869,0.0552856,0.01264446,3.76054E-05,0.0008320366,0.006284161,0.04813663,0.1937304,2.095233E-05,0.005810491,0.1051842,3.111051E-06,0.0005154804,0.04647553,0.01089368,0.06677191,1.164183,3.138597E-07,0.009752922,0.0008527167,0.01502827,0.01801717,0.09460758,0.1519868,0.3168456,0.03344755,0.02433316,0.05978327,0.01205958,0.04050994,0.02839878,0.03629959,0.0131773,0.4710362,0.02280497,0.02926674,0.04009109,0.3496466,0.01752381,0.05246781,0.005167148,2.567156,1.947866,0.2539502,0.02080748,4.476459,15.19983,4.533444,11.35106,3.433771
18,5.537848E-05,0.003831506,0.09152701,0.05303526,0.01220127,3.872682E-05,0.000853828,0.005371283,0.04694498,0.1871307,2.08936E-05,0.005113705,0.1011008,3.317981E-06,0.0005282972,0.04439498,0.01024808,0.07905197,1.151774,3.179042E-07,0.009340195,0.0008752576,0.01483773,0.01754537,0.09505368,0.1456688,0.3076664,0.03218328,0.02348865,0.05838963,0.01156652,0.03865526,0.02808159,0.03511599,0.01265403,0.4760955,0.02342474,0.02893568,0.03988369,0.3751868,0.01891423,0.04994733,0.004716041,2.465762,2.003257,0.2617018,0.02227975,4.288353,15.3264,4.248435,11.53846,3.493914
19,5.766104E-05,0.003980716,0.08878646,0.05101864,0.01178651,4.22367E-05,0.0008770773,0.004887698,0.04575911,0.1809268,2.089005E-05,0.004566009,0.09746791,3.334758E-06,0.0005377284,0.04258376,0.01013558,0.09695148,1.136497,3.203974E-07,0.00896458,0.0009317551,0.01506001,0.01708699,0.09589652,0.1398367,0.2997392,0.03113122,0.02282085,0.05743365,0.01114779,0.03701368,0.02797679,0.03401474,0.01220111,0.4823025,0.02401241,0.02874388,0.03987531,0.3974704,0.02022064,0.0477144,0.004332531,2.367946,2.056045,0.269616,0.02402876,4.12438,15.56005,4.03029,11.80413,3.560174
20,5.915919E-05,0.004157797,0.08672335,0.04924171,0.01140088,4.898829E-05,0.0009133805,0.005191773,0.04417028,0.1751494,2.141179E-05,0.004475419,0.09395406,3.369059E-06,0.0005517587,0.04102323,0.0107229,0.1179425,1.12468,3.297086E-07,0.008624819,0.001036381,0.01576741,0.01664329,0.09723768,0.1345058,0.2931384,0.03027904,0.02232084,0.05686902,0.01080456,0.03559822,0.02809282,0.03299484,0.01182056,0.4906551,0.02465034,0.02869777,0.0400684,0.4168911,0.02144905,0.04575282,0.004012136,2.273717,2.119005,0.2834088,0.02687731,3.996734,16.29407,3.995471,12.50248,3.694027
